EPA Facility ID,State,Report Received Date,Report Created Date
100000048977,AL,8/1/2018,11/28/2024
100000049173,AL,6/1/1999,11/28/2024
100000049921,AL,1/1/2020,11/28/2024
100000050044,AL,6/1/2024,11/28/2024
100000050375,AL,2/1/2021,11/28/2024
100000050776,AL,6/1/2024,11/28/2024
100000050794,AL,11/1/2020,11/28/2024
100000051926,AL,5/1/2009,11/28/2024
100000052417,AL,6/1/2020,11/28/2024
100000052435,AL,9/1/2006,11/28/2024
100000052541,AL,5/1/2024,11/28/2024
100000052836,AL,6/1/2021,11/28/2024
100000054683,AL,4/1/2024,11/28/2024
100000055049,AL,3/1/2021,11/28/2024
100000055423,AL,6/1/2004,11/28/2024
100000055815,AL,6/1/2004,11/28/2024
100000057591,AL,7/1/2024,11/28/2024
100000058643,AL,11/1/2024,11/28/2024
100000059795,AL,3/1/2019,11/28/2024
100000059802,AL,6/1/2020,11/28/2024
100000059973,AL,6/1/1999,11/28/2024
100000059982,AL,6/1/1999,11/28/2024
100000062068,AL,5/1/2019,11/28/2024
100000062308,AL,8/1/2009,11/28/2024
100000063094,AL,8/1/2023,11/28/2024
100000063799,AL,6/1/2004,11/28/2024
100000064002,AL,10/1/2024,11/28/2024
100000064235,AL,12/1/2009,11/28/2024
100000064413,AL,8/1/2023,11/28/2024
100000064761,AL,5/1/2023,11/28/2024
100000065181,AL,8/1/2024,11/28/2024
100000065225,AL,5/1/2023,11/28/2024
100000065234,AL,11/1/2024,11/28/2024
100000065261,AL,9/1/2022,11/28/2024
100000066019,AL,7/1/1999,11/28/2024
100000067438,AL,10/1/2024,11/28/2024
100000067875,AL,6/1/1999,11/28/2024
100000067884,AL,9/1/2024,11/28/2024
100000069711,AL,5/1/2009,11/28/2024
100000071174,AL,12/1/2017,11/28/2024
100000071334,AL,5/1/2005,11/28/2024
100000071815,AL,11/1/2021,11/28/2024
100000071842,AL,7/1/2020,11/28/2024
100000072529,AL,5/1/2006,11/28/2024
100000072663,AL,10/1/1999,11/28/2024
100000072734,AL,6/1/1999,11/28/2024
100000073699,AL,6/1/2009,11/28/2024
100000074135,AL,5/1/2021,11/28/2024
100000074224,AL,5/1/2024,11/28/2024
100000074359,AL,10/1/2014,11/28/2024
100000076758,AL,5/1/2024,11/28/2024
100000077445,AL,6/1/1999,11/28/2024
100000078453,AL,5/1/2003,11/28/2024
100000078685,AL,10/1/2024,11/28/2024
100000078738,AL,6/1/2009,11/28/2024
100000079461,AL,5/1/2024,11/28/2024
100000080574,AL,1/1/2015,11/28/2024
100000080654,AL,6/1/1999,11/28/2024
100000081092,AL,6/1/2023,11/28/2024
100000081877,AL,9/1/2023,11/28/2024
100000081902,AL,6/1/1999,11/28/2024
100000083642,AL,5/1/2022,11/28/2024
100000084008,AL,6/1/1999,11/28/2024
100000084222,AL,6/1/1999,11/28/2024
100000084339,AL,2/1/2020,11/28/2024
100000088184,AL,8/1/2023,11/28/2024
100000088255,AL,5/1/2024,11/28/2024
100000089012,AL,1/1/2024,11/28/2024
100000090091,AL,6/1/1999,11/28/2024
100000091633,AL,6/1/1999,11/28/2024
100000092491,AL,3/1/2005,11/28/2024
100000092543,AL,3/1/2005,11/28/2024
100000094051,AL,3/1/2024,11/28/2024
100000094159,AL,5/1/2009,11/28/2024
100000099779,AL,10/1/2022,11/28/2024
100000099877,AL,9/1/2020,11/28/2024
100000100393,AL,1/1/2024,11/28/2024
100000101882,AL,2/1/2018,11/28/2024
100000102346,AL,10/1/2009,11/28/2024
100000103693,AL,8/1/2022,11/28/2024
100000103899,AL,6/1/1999,11/28/2024
100000103906,AL,9/1/2023,11/28/2024
100000104059,AL,6/1/1999,11/28/2024
100000104157,AL,8/1/2019,11/28/2024
100000104433,AL,5/1/2023,11/28/2024
100000104674,AL,6/1/2009,11/28/2024
100000105101,AL,6/1/2009,11/28/2024
100000105307,AL,6/1/1999,11/28/2024
100000105824,AL,6/1/2014,11/28/2024
100000106431,AL,4/1/2024,11/28/2024
100000106805,AL,6/1/2004,11/28/2024
100000107136,AL,5/1/2017,11/28/2024
100000107396,AL,4/1/2021,11/28/2024
100000107421,AL,4/1/2021,11/28/2024
100000107467,AL,4/1/2021,11/28/2024
100000107519,AL,4/1/2021,11/28/2024
100000108171,AL,6/1/2023,11/28/2024
100000108386,AL,4/1/2024,11/28/2024
100000111149,AL,3/1/2020,11/28/2024
100000112898,AL,12/1/2020,11/28/2024
100000113584,AL,2/1/2024,11/28/2024
100000114949,AL,7/1/2019,11/28/2024
100000115001,AL,12/1/2012,11/28/2024
100000115074,AL,11/1/2007,11/28/2024
100000115127,AL,12/1/2008,11/28/2024
100000115582,AL,9/1/2020,11/28/2024
100000117198,AL,4/1/2021,11/28/2024
100000118259,AL,5/1/2021,11/28/2024
100000118366,AL,6/1/1999,11/28/2024
100000118419,AL,6/1/1999,11/28/2024
100000118972,AL,6/1/1999,11/28/2024
100000119481,AL,6/1/1999,11/28/2024
100000121405,AL,6/1/1999,11/28/2024
100000122315,AL,10/1/2020,11/28/2024
100000122896,AL,11/1/2011,11/28/2024
100000123895,AL,6/1/2004,11/28/2024
100000124304,AL,2/1/2022,11/28/2024
100000125893,AL,4/1/2019,11/28/2024
100000127007,AL,2/1/2000,11/28/2024
100000128471,AL,6/1/1999,11/28/2024
100000128505,AL,9/1/2006,11/28/2024
100000128541,AL,2/1/2020,11/28/2024
100000128694,AL,6/1/1999,11/28/2024
100000129844,AL,2/1/2006,11/28/2024
100000131234,AL,8/1/2024,11/28/2024
100000131635,AL,10/1/2022,11/28/2024
100000132279,AL,2/1/2006,11/28/2024
100000133036,AL,5/1/2024,11/28/2024
100000135169,AL,6/1/2022,11/28/2024
100000135819,AL,6/1/1999,11/28/2024
100000136747,AL,6/1/2004,11/28/2024
100000136863,AL,10/1/2020,11/28/2024
100000137087,AL,5/1/2019,11/28/2024
100000138246,AL,12/1/2016,11/28/2024
100000141312,AL,3/1/2021,11/28/2024
100000141688,AL,6/1/1999,11/28/2024
100000142534,AL,1/1/2024,11/28/2024
100000143276,AL,8/1/2001,11/28/2024
100000143374,AL,6/1/1999,11/28/2024
100000143686,AL,6/1/1999,11/28/2024
100000144015,AL,3/1/2024,11/28/2024
100000144257,AL,6/1/1999,11/28/2024
100000144934,AL,6/1/1999,11/28/2024
100000145425,AL,6/1/1999,11/28/2024
100000146291,AL,9/1/2004,11/28/2024
100000147968,AL,10/1/2001,11/28/2024
100000148388,AL,5/1/2024,11/28/2024
100000148404,AL,4/1/2021,11/28/2024
100000149127,AL,6/1/2024,11/28/2024
100000149314,AL,1/1/2009,11/28/2024
100000151621,AL,5/1/2024,11/28/2024
100000152023,AL,1/1/2014,11/28/2024
100000152586,AL,6/1/1999,11/28/2024
100000153638,AL,1/1/2014,11/28/2024
100000154637,AL,5/1/2019,11/28/2024
100000154664,AL,8/1/1999,11/28/2024
100000156163,AL,3/1/2011,11/28/2024
100000156966,AL,7/1/1999,11/28/2024
100000157572,AL,2/1/2021,11/28/2024
100000158009,AL,9/1/2007,11/28/2024
100000158189,AL,10/1/1999,11/28/2024
100000158303,AL,7/1/2024,11/28/2024
100000159589,AL,6/1/2009,11/28/2024
100000159623,AL,3/1/2021,11/28/2024
100000159641,AL,5/1/2024,11/28/2024
100000161086,AL,6/1/2004,11/28/2024
100000161157,AL,6/1/1999,11/28/2024
100000162717,AL,6/1/2011,11/28/2024
100000163271,AL,11/1/1999,11/28/2024
100000163743,AL,5/1/2024,11/28/2024
100000165581,AL,6/1/2009,11/28/2024
100000165634,AL,12/1/2019,11/28/2024
100000165689,AL,12/1/2019,11/28/2024
100000166287,AL,3/1/2006,11/28/2024
100000167865,AL,11/1/2020,11/28/2024
100000168463,AL,4/1/2000,11/28/2024
100000168515,AL,7/1/2024,11/28/2024
100000169122,AL,8/1/2023,11/28/2024
100000169239,AL,1/1/2016,11/28/2024
100000169872,AL,12/1/2015,11/28/2024
100000169934,AL,6/1/2024,11/28/2024
100000170067,AL,5/1/2010,11/28/2024
100000170076,AL,6/1/2000,11/28/2024
100000172528,AL,4/1/2020,11/28/2024
100000173581,AL,4/1/2020,11/28/2024
100000174688,AL,3/1/2001,11/28/2024
100000175767,AL,8/1/2020,11/28/2024
100000177104,AL,5/1/2016,11/28/2024
100000177168,AL,5/1/2024,11/28/2024
100000177453,AL,1/1/2002,11/28/2024
100000177756,AL,4/1/2020,11/28/2024
100000177998,AL,6/1/2022,11/28/2024
100000178265,AL,5/1/2022,11/28/2024
100000178602,AL,7/1/2015,11/28/2024
100000178942,AL,4/1/2012,11/28/2024
100000180207,AL,2/1/2021,11/28/2024
100000181867,AL,4/1/2020,11/28/2024
100000181876,AL,5/1/2024,11/28/2024
100000182303,AL,9/1/2013,11/28/2024
100000182358,AL,6/1/2020,11/28/2024
100000183776,AL,1/1/2014,11/28/2024
100000184025,AL,6/1/2023,11/28/2024
100000184294,AL,7/1/2023,11/28/2024
100000184454,AL,2/1/2023,11/28/2024
100000184588,AL,12/1/2008,11/28/2024
100000184971,AL,7/1/2023,11/28/2024
100000186069,AL,5/1/2009,11/28/2024
100000186425,AL,10/1/2023,11/28/2024
100000186915,AL,6/1/2004,11/28/2024
100000186951,AL,6/1/2024,11/28/2024
100000187219,AL,11/1/2022,11/28/2024
100000187488,AL,6/1/2024,11/28/2024
100000188361,AL,6/1/2024,11/28/2024
100000189039,AL,9/1/2013,11/28/2024
100000189716,AL,6/1/2023,11/28/2024
100000189734,AL,6/1/2014,11/28/2024
100000192392,AL,3/1/2018,11/28/2024
100000192864,AL,10/1/2012,11/28/2024
100000193364,AL,4/1/2024,11/28/2024
100000194201,AL,4/1/2024,11/28/2024
100000195479,AL,7/1/2021,11/28/2024
100000197609,AL,12/1/2006,11/28/2024
